id,q#,chapter,type,subject,order,q_se,q_en,ans_se,ans_en,q_alt_se,q_alt_en,ans_alt_se,ans_alt_en
109,,3,essay,OPS,,Vilken huvudsaklig funktion har ett operativsystem? ,What is the main function of an operating system?,"Att administrera en dators resurser (to manage the resources of a computer), vilket bl.a. innebär.:
i) att övervaka driften av datorn (to oversee the operation of the computer);
ii) att spara och hämta filer (to store and retrieve files);
iii) att schemalägga program för exekvering (to schedule programs for execution);
iv) att koordinera exekveringen av program (to ccordinate the execution of programs).","""To manage the resources of a computer"", which means, among other things: 
i) to supervise the operation of the computer (to oversee the operation of the computer);
ii) to store and retrieve files;
iii) to schedule programs for execution (to schedule programs for execution);
iv) to coordinate the execution of programs.""",,,,
110,,3,essay,PRO,,Vad innebär interaktiv bearbetning (interactive processing)? ,What does interactive processing mean?,Att programexekveringen stöder interaktion med användaren. ,That the program execution supports interaction with the user.,,,,
111,,3,essay,PRO,,Vad innebär realtidsbearbetning (real time processing)? ,What does real time processing mean?,Programexekvering i enlighet med deadlines i den omgivande verkligheten. ,Program execution according to deadlines in the surrounding reality.,,,,
112,,3,essay,PRO,,Vad är skillnaden mellan batch-bearbetning (batch processing) och interaktiv-bearbetning (interactive processing)? ,What is the difference between batch processing and interactive processing?,Batch-bearbetning är exekvering av program (eller mer exakt: av en batch av jobb) utan någon interaktion med en användare. Interaktiv-bearbetning är exekvering av program med någon typ av interaktion med en användare. ,Batch processing is the execution of programs (or more precisely: a batch of jobs) without any interaction with a user. Interactive processing is the execution of programs with some type of interaction with a user.,,,,
113,,3,essay,MEM,,Vad är virtuellt minne och vad kan det vara bra för? ,What is virtual memory and what can it be good for?,"Virtuellt minne är en minneshanteringsteknik som används för att utöka datorns tillgängliga minne utöver primärminnet. Normalt skapas det virtuella minnet på en sekundär lagringsenhet, t ex en hårddisk, och fördelen är att man kan arbeta med program och data som kräver mer minne än det fysiska primärminne man har. Nackdelen är att det normalt är långsammare (fast det beror ju på vilken typ av media det sparas på). ","Virtual memory is a memory management technique used to expand the computer's available memory beyond the primary memory. Normally, the virtual memory is created on a secondary storage device, for example a hard drive, and the advantage is that you can work with programs and data that require more memory than the physical primary memory you have. The disadvantage is that it is normally slower (although it depends on the type of media it is saved on).",,,,
114,,3,essay,OPS,,Ange fyra olika komponenter i ett operativsystems kärna (operating system kernel)? ,Name four different components of an operating system kernel (operating system kernel)?,"File manager, device drivers, memory manager, scheduler, dispatcher. ","File manager, device drivers, memory manager, scheduler, dispatcher.",,,,
115,,3,essay,DAT,,Vad är en fil (file) i ett filhanteringssystem (file management system)? ,What is a file in a file management system?,En namngiven separat grupp av data. ,A named separate group of data.,,,,
116,,3,essay,OPS,,Vilka är de fyra grundläggande funktionerna för ett operativsystem (functions of operating systems)? ,What are the four basic functions of an operating system (functions of operating systems)?,"Oversee the operation of a computer; 
store and retrieve files; 
schedule programs for execution; 
coordinate the execution of programs. ","Oversee the operation of a computer; 
store and retrieve files; 
schedule programs for execution; 
coordinate the execution of programs. ",,,,
117,,3,essay,,,Vad innebär time-sharing? ,What does time-sharing mean?,A computer provides service to multiple users “at the same time” (time slices). ,A computer provides service to multiple users “at the same time” (time slices). ,,,,
118,,3,essay,OPS,,"Ett operativsystem består av två huvudsakliga komponenter (operating system components), vilka? ","An operating system consists of two main components (operating system components), what are they called?",Användargränssnitt (user interface) och kärna (kernel). ,User interface and kernel.,,,,
119,,3,essay,DDL,,Vad krävs för att en deadlock skall kunna uppstå (conditions required for deadlock)? ,What conditions are required to be fulfilled in order for a deadlock to occur?,"Competition for non-sharable resources; 
resources requested on a partial basis; 
allocated resources cannot be forcibly retrieved. ","Competition for non-sharable resources; 
resources requested on a partial basis; 
allocated resources cannot be forcibly retrieved. ",,,,
120,15,3,essay,DAT,,"En process aktuella tillstånd (state) kan beskrivas av en mängd data, vilket data? ","A process's current state can be described by a set of data, which data?","Innehållet i programräknaren, innehållet i general purpose registren, och till processen tillhörande delar av primärminnet. ","Innehållet i programräknaren, innehållet i general purpose registren, och till processen tillhörande delar av primärminnet. ",,,,
121,13,3,essay,PRO,,Vad är ett program och vad är en process?,What is a program and what is a process?,"Ett program är en samling instruktioner som är utförbara av en dator (en exekverbar algoritm), och en process är aktiviteten att utföra dessa instruktioner.","A program is a collection of instructions that are executable by a computer (an executable algorithm), and a process is the activity of executing these instructions.",,,,
122,14,3,essay,DAT,,Vad är en fil?,What's a file?,En namngiven grupp data.,A named group of data. ,,,,
123,14,3,essay,DAT,,Vad är en katalog (directory)?,What is a directory? ,En namngiven samling filer och (under-)kataloger.,A named collection of files and (sub-)directories. ,,,,
124,,3,essay,MEM,,Vad innebär paging?,What does paging mean? ,Att program och data roteras fram och tillbaka mellan primär- och sekundärminne.,Programs and data are rotated back and forth between main memory and mass storage. ,,,,
125,,3,essay,OPS,,Vad är och vad gör en boot loader?,What is and what does a boot loader do? ,"Ett program lagrat i ROM, som körs när datorn startas och laddar in operativsystemet i primärminnet och sedan överför kontrollen till operativsystemet.","A program stored in ROM, which is run when the computer starts and loads the operating system into main memory and then transfers the control to the operating system.",,,,
126,16,3,essay,PRO,,Vad innebär interaktiv bearbetning (interactive processing)?,What does interactive processing mean? ,Interaktiv-bearbetning är exekvering av program med någon typ av interaktion med en användare.,Interactive processing is the execution of programs with some type of interaction with a user.,,,,
127,16,3,essay,PRO,,Vad innebär batch-bearbetning (batch processing)?,What does batch processing mean? ,Batch-bearbetning är exekvering av program (eller mer exakt: av en batch av jobb) utan någon interaktion med en användare.,Batch processing is the execution of programs (or more exactly: a batch of jobs) without any interaction with a user.,,,,
128,,3,essay,,,"Användargränssnitt kan delas upp i två huvudtyper, vilka?","There are two main types of user interfaces, which?",Grafiska (GUI) och textbaserade.,,,,,
129,16,3,essay,DDL,,Vad innebär begreppet deadlock? ,What does the term deadlock mean?,Att processer blockerar (hindrar) varandra från att fortsätta. ,That processes block (prevent) each other from continuing.,,,,
130,,3,essay,PRO,,Vad är ett job i samband med batch-processing?,What is a batch processing job?,Ett program som ska exekveras tillsammans med dess indata och utdata. ,A program to be executed along with its input and output.,,,,
131,,3,essay,,,"Mjukvara kan indelas i två huvudkategorier, vilka?","Software can be divided into two main categories, which ones?",Applikationer och system.,Applications and systems.,,,,
132,,3,essay,PRO,,Vad innebär multitasking?,What does multitasking mean?,"Att flera program kan köras ""på samma gång"" av en enda användare.","That multiple programs can be executed ""at the same time"" by a single user.",,,,
133,16,3,essay,PRO,,"Vad innebär ""paging""?",What is paging?,Att program och data roteras fram och tillbaka mellan primär- och sekundärminne.,That programs and data are rotated back and forth between primary and secondary memory.,,,,
134,,4,essay,NCO,,Vad är skillnaden mellan en switch och en router? ,What is the difference between a switch and a router?,En switch kopplar samman flera ”bussar” (buses) (och/eller datorer) till ett nätverk. En router koppar samman flera olika nätverk till ett nätverk av nätverk (internet). ,"A switch connects several ""buses"" (and/or computers) to a network. A router connects several different networks to a network of networks (internet).",,,,
135,,4,essay,COM,,Vilka är de två modellerna för inter-process-kommunikation? ,What are the two models of inter-process communication?,Client/server och peer-to-peer. ,,,,,
136,,4,essay,NET,,Vad är en IP-adress? ,What is an IP address?,En unik numerisk adress till en dator uppkopplad på Internet.,A unique numerical address for a computer connected to the Internet.,,,,
137,,4,essay,NET,,Vad är DNS? ,What is DNS?,Domain Name System översätter domännamn till IP-adresser.,The Domain Name System translates domain names into IP addresses.,,,,
138,,4,essay,NCO,,Vad innebär bus och star när det handlar om nättopologi? ,What does bus and star mean when it comes to network topology?,"Bus-topologi innebär att alla enheter är kopplade till en gemensam kommunikationslina, s.k. bus. Star-topologin innebär att alla övriga enheter är kopplade till en central enhet, s.k. accesspunkt (access point). ","Bus topology means that all devices are connected to a common communication line, a so-called bus. The Star topology means that all other units are connected to a central unit, so-called access point (access point).",,,,
139,,4,essay,NET,,Vad innebär cloud computing? ,What is cloud computing?,Stora pooler av delade datorer som kan tilldelas för användning utifrån behov. ,Large pools of shared computers that can be assigned for use based on need.,,,,
140,,4,essay,ADR,,Vad är den huvudsakliga skillnaden mellan IPv4 (IP version 4) och IPv6 (IP version 6)? ,What is the main difference between IPv4 (IP version 4) and IPv6 (IP version 6)?,"IPv4-adresser är 32 bitar och IPv6-adresser är 128 bitar, vilket innebär att det finns väldigt många fler IPv6-adresser än IPv4-adresser. ","IPv4 addresses are 32 bits and IPv6 addresses are 128 bits, which means that there are many more IPv6 addresses than IPv4 addresses.",,,,
141,,4,essay,CRP,,Vad är ett certifikat (certificate) i samband med public-key-kryptering (public key encryption)? ,What is a certificate in the context of public key encryption?,"Ett paket bestående av namn/identitet och publik nyckel (a package of name/identity and public key), vilket intygar att man är den man utger sig för att vara. ","A package consisting of name/identity and public key (a package of name/identity and public key), which certifies that you are who you claim to be.",,,,
142,,4,essay,MAW,,Ge ett exempel på en typ av malware? ,Give an example of a type of malware?,"Virus, maskar, trojaner, spion-programvara, nätfiske-programvara (viruses, worms, Trojan horses, spyware, phishing software) (det räcker att ha angett en). ","Viruses, worms, trojans, spyware, phishing software (viruses, worms, Trojan horses, spyware, phishing software) (one is sufficient).",,,,
143,,4,essay,NET,,Vad innebär DNS lookup? ,What does DNS lookup mean?,Användandet av DNS (domain name system) för att översätta från ett domännamn till en IP-adress. ,The use of DNS (domain name system) to translate from a domain name to an IP address.,,,,
144,,4,essay,NET,,Vad gör en (nätverks-) hub? ,What does a (network) hub do?,Den kopplar ihop datorer till ett nätverk. ,It connects computers to a network.,,,,
145,,4,essay,PRT,,Till vilket Internet-mjukvarulager (Internet software layer) hör protokollet SMTP? ,To which Internet software layer (Internet software layer) does the SMTP protocol belong?,Applikationslagret (the application layer) (SMTP = simple mail transfer protocol). ,The application layer (SMTP = simple mail transfer protocol).,,,,
146,,4,essay,NET,,Vad gör en webbserver (webserver)? ,What does a web server (web server) do?,"Ger tillgång till olika webbresurser, som t.ex. webbsidor. ","Provides access to various web resources, such as web pages.",,,,
147,,4,essay,NET,,Vad är syftet med en URL/URI? ,What is the purpose of a URL/URI?,"Att unikt identifiera en webbresurs, t.ex. en webbsida. ","To uniquely identify a web resource, e.g. a web page.",,,,
148,,4,essay,PRT,,Vilka är de två vanliga Internet-protokollen för transport-lagret (transport layer)? ,What are the two common Internet protocols for the transport layer?,TCP (transmission control protocol) och UDP (user datagram protocol). ,TCP (transmission control protocol) and UDP (user datagram protocol).,,,,
149,,4,essay,CRP,,Vad kallas den krypteringsteknik som används mycket på Internet och som innebär att parterna inte i förväg behöver ha tillgång till en gemensam nyckel? ,What is the name of the encryption technology that is widely used on the Internet and which means that the parties do not need to have access to a common key in advance?,Public key encryption (t.ex. RSA-algoritmen). ,Public key encryption (eg the RSA algorithm).,,,,
150,,4,essay,NET,,Vad är Internet-domäner (Internet domains) och vad är syftet med dem? ,What are Internet domains and what is their purpose?,"Mnemoniska namn för numeriska IP-adresser, vilket är lättare för människor att minnas och innebär att man kan byta IP-adress men ändå behålla samma mnemoniska adress. ","Mnemonic names for numeric IP addresses, which is easier for people to remember and means you can change IP addresses but still keep the same mnemonic address.",,,,
151,,4,essay,PRT,,Ge två exempel på Internet-applikationer med öppna (allmänt tillgängliga) protokoll? ,Give two examples of Internet applications using open (publicly available) protocols?,T.ex. HTTP (hypertext transfer protocol) och FTP (file transfer protocol). ,For example: HTTP (hypertext transfer protocol) and FTP (file transfer protocol).,,,,
152,,4,essay,PRT,,Vad är det för skillnad mellan protokollen HTTP och HTTPS? ,What is the difference between the HTTP and HTTPS protocols?,"Trafiken över HTTP är inte krypterad, medan trafiken över HTTPS är krypterad (public key encryption). ","The traffic over HTTP is not encrypted, while the traffic over HTTPS is encrypted (public key encryption).",,,,
153,,4,essay,NET,,"Förklara kortfattat skillnaden mellan nätverkskomponenterna hub, switch och router? ","Briefly explain the difference between the network components hub, switch and router?","En hub kopplar ihop maskiner/nätverksenheter till ett nätverk, och skickar all trafik till alla anslutna enheter.

En switch är en typ av smartare hub som ansluter nätverksenheter på samma sätt som en hub, men skickar bara trafik mellan de enheter/portar som ska kommunicera. 

En router ansluter flera närverk till varandra och skickar trafik vidare mellan nätverk. ","A hub connects machines/network devices to a network, and sends all traffic to all connected devices. 

A switch is a type of smarter hub that connects network devices in the same way as a hub, but only sends traffic between the devices/ports that need to communicate.

A router connects several networks to each other and forwards traffic between networks.",,,,
154,,4,essay,PRT,,"Vad överförs med de olika protokollen FTP, HTTP, SMTP? ","What is transferred with the different protocols FTP, HTTP, SMTP?","FTP överför filer. 
HTTP överför olika typer av resurser för t ex webbsidor mm (t ex html-dokument, bilder, ljud mm). 
SMTP överför elektronisk post. ","FTP transfers files.
HTTP transfers various types of resources for e.g. web pages etc. (e.g. html documents, images, sounds etc.).
SMTP transfers electronic mail.",,,,
155,,4,essay,NET,,Vad är ett certifikat? Kan man lita lika mycket på alla certifikat? Motivera ditt svar!,What is a certificate? Can all certificates be trusted equally? Motivate your answer!,"Ett certifikat är ett elektroniskt dokument som visar vem som äger en viss identitet eller krypteringsnyckel. Hur mycket man litar på ett certifikat beror på tilliten till den som har utfärdat certifikatet. Vissa certifikatutfärdare, t ex en del myndigheter, åtnjuter en högre tillit, medans ett certifikat utfärdat av en själv eller en mindre trovärdig eller seriös aktör är mindre värt tillit. Jämför med vanliga identitetshandlingar – ett pass utfärdat av staten genom Polismyndigheten är värt betydligt mer än ett pass som man har tillverkat hemma. ","A certificate is an electronic document that shows who owns a certain identity or encryption key. How much one trusts a certificate depends on the trust in the person who issued the certificate. Some certificate issuers, e.g. some authorities, enjoy a higher level of trust, while a certificate issued by yourself or a less credible or serious actor is less trustworthy. Compare with ordinary identity documents - a passport issued by the state through the Police Authority is worth significantly more than a passport that you have made at home.",,,,
156,,4,essay,CRP,,"Vad innebär en digital signatur (digital signature) vid publik-nyckel-kryptering (public key encryption), d.v.s. att vid överföringen av en fil så kan man garantera avsändarens identitet? ","What does a digital signature mean for public key encryption, i.e. that when transferring a file, the identity of the sender can be guaranteed?",Att filen är krypterad med avsändarens privata nyckel (private key). ,That the file is encrypted with the sender's private key.,,,,
157,,4,essay,NET,,Vad kännetecknar ett distribuerat system (distributed system)? ,What characterizes a distributed system?,Consists of software units that execute on several different computers. ,Consists of software units that execute on several different computers.,,,,
158,,4,essay,ADR,,Hur många gånger fler adresser kan representeras med IPv6 jämfört med IPv4 (som vanligt så behöver ni inte räkna ut ett värde utan det räcker med att ställa upp en korrekt uträkning)?,"How many times more addresses can be represented with IPv6 compared to IPv4 (as usual, you do not need to calculate a value, it is enough to set up a correct calculation)?",2^128 / 2^32 = 2^96,2^128 / 2^32 = 2^96,,,,
159,18,4,essay,NET,,Vad är ett distribuerat system (distributed system)? ,What is a distributed system?,Består av programvaruenheter som exekverar på flera olika datorer. ,Consists of software units that execute on several different computers.,,,,
160,,4,essay,HTM,,Vad används HTML till?,What is HTML used for?,HTML (hyper text markup language) är ett språk som används för att skapa/beskriva webbsidor.,HTML (hyper text markup language) is a language used to create/describe web pages.,,,,
161,,4,essay,CRP,,"Inom public key encryption används begreppet certifikat, vad är det?","In public key encryption, the term certificate is used, what is it? ","Ett paket bestående av namn/identitet och publik nyckel, vilket, om det är utfärdat av en certificate authority, intygar att man är den man utger sig för att vara.","A package consisting of name/identity and a public key, which, if issued by a certificate authority, certifies that you are who you pretend to be.",,,,
162,,4,essay,CRP,,"Inom public key encryption används begreppet certificate authority, vad är det? ","In public key encryption, the term certificate authority is used, what is it?","En organisation som ger ut certifikat (ett paket bestående av namn/identitet och publik nyckel), vilket intygar att man är den man utger sig för att vara.","An organization that issues certificates (a package of name/identity and public key), which certifies that you are who you pretend to be.",,,,
163,,4,essay,PRT,,Vad är en fördel med att använda TCP istället för UDP? Vad är en nackdel?,What is the benefit of using TCP instead of UDP? What is a disadvantage? ,"En fördel är att det är mer pålitligt, en nackdel är att det är långsammare.","An advantage is that it is more reliable, a disadvantage is that it is slower. ",,,,
164,,4,essay,PRT,,Vad är en fördel med att använda UDP istället för TCP? Vad är en nackdel?,What is the benefit of using UDP instead of TCP? What is a disadvantage? ,"En fördel är att det är snabbare, en nackdel är att det är mindre pålitligt","An advantage is that it is faster, a disadvantage is that it is less reliable. ",,,,,
165,17,4,essay,NET,,Vilka är de fyra Internet-mjukvarulagren?,Name the four Internet software layers? ,"Application, transport, network, link.","Application, transport, network, link.",,,,
166,,4,essay,NET,,Förklara kortfattat begreppet client-server! ,Briefly explain the concept of client-server!,En modell där klienter begär att tjänster ska utföras av servrar som tillhandahåller tjänsterna. ,A model where clients request services to be performed by servers that provide the services.,,,,
167,,4,essay,PRT,,Vad används SMTP till? ,What is SMTP used for?,SMTP är ett protokoll för att hantera elektronisk post.,SMTP is a protocol for handling electronic mail.,,,,
168,18,4,essay,CRP,,"Om person A vill skicka ett meddelande till person B, krypterat enligt public-key-encryption, så att ingen annan än B kan läsa meddelandet. Vad behöver meddelandet då krypteras med innan meddelandet skickas från A?","If person A wants to send a message to person B, encrypted according to public-key encryption, so that no one other than B can read the message. What does the message then need to be encrypted with before the message is sent from A?",Person B:s publika nyckel.,Person B's public key.,,,,
169,18,4,essay,CRP,,"Om person A vill skicka ett meddelande till person B, krypterat enligt public-key-encryption, så att ingen annan än A kan ha skickat meddelandet. Vad behöver meddelandet då krypteras med innan meddelandet skickas från A?","If person A wants to send a message to person B, encrypted according to public-key encryption, so that no one other than A can have sent the message. What does the message then need to be encrypted with before the message is sent from A?",Person A:s privata nyckel,Person A's private key.,,,,
170,19,4,essay,CRT,,Nämn en fördel med publik-nyckel-kryptering jämfört med symmetriska krypteringstekniker. ,Name one advantage of public key encryption over symmetric encryption techniques.,Du kan använda en kombination av publik och privat nyckel för kryptering och dekryptering på ett sådant sätt att du inte behöver utbyta någon nyckel i förväg.,You can use a combination of public and private key for encryption and decryption in such a way that you don't need to exchange any key in advance.,,,,
171,,4,essay,NET,,Vad används en hub respektive en router för?,What is a hub or a router used for?,En hub kopplar ihop maskiner/nätverksenheter till ett nätverk. En router kopplar ihop flera nätverk till ett internet (nätverk av nätverk).,A hub connects machines/network devices to a network. A router connects several networks to an Internet (network of networks).,,,,
172,18,4,essay,PRT,,"Nämn en fördel med UDP framför TCP, och en fördel med TCP framför UDP.","Name one advantage of UDP over TCP, and one advantage of TCP over UDP.","UDP är effektivare, och TCP är mer tillförlitligt.","UDP is more efficient, and TCP is more reliable.",,,,
173,,5,essay,RIT,,Vad är rekursion? ,What is recursion?,Alternativ 1: Rekursion innebär en repetition genom att en subrutin/funktion anropar sig själv. Alternativ 2: En repetition där varje steg (i repetitionen) löser en deluppgift av tidigare steg (i repetitionen).,,,,,
174,,5,essay,SER,,Varför är binär sökning bättre än sekvensiell sökning på sorterat data? ,Why is binary search better than sequential search on sorted data?,"Därför att med binärsökning så växer antalet steg i sökprocessen logaritmiskt med antalet poster, medan med sekvensiell sökning så växer antalet steg linjärt med antalet poster, vilket innebär att binärsökning är betydligt effektivare. ","Because with binary search, the number of steps in the search process grows logarithmically with the number of entries, while with sequential search, the number of steps grows linearly with the number of entries, which means that binary search is significantly more efficient.",,,,
175,,5,essay,RIT,,Ä̈r det någon skillnad mellan iteration och rekursion när det gäller användningen av minne? ,Is there any difference between iteration and recursion in terms of memory usage?,"Ja, varje rekursivt anrop i en rekursion kräver extra minne, till skillnad från en iteration där varje varv inte kräver något extra minne. ","Yes, each recursive call in a recursion requires additional memory, unlike an iteration where each turn requires no additional memory.",,,,
176,,5,essay,,,Vad är pseudo-kod (pseudo code)? ,What is pseudo code?,"Ett beskrivningssystem för algoritmer, och som är mindre formellt än riktiga programmeringsspråk (a notational system in which algorithms can be expressed, and which is less formal than real programming language code). ","A description system for algorithms, and which is less formal than real programming languages (a notational system in which algorithms can be expressed, and which is less formal than real programming language code).",,,,
177,,5,essay,ALG,,Vad är skillnaden mellan en algoritm och ett program? ,What is the difference between an algorithm and a program?,Ett program är en algoritm kodad på ett sådant sätt att en dator kan exekvera den. ,A program is an algorithm coded in such a way that a computer can execute it.,,,,
178,,5,essay,VER,,Vilka två olika metoder används för att verifiera att ett program är korrekt (software verification)? ,Which two different methods are used to verify that a program is correct (software verification)?,"Statisk verifiering (static verification) eller kodanalys (code analysis), och testning (testing). ","Static verification or code analysis, and testing.",,,,
179,,5,essay,ALG,,Vad är ett program i förhållande till en algoritm? ,What is a program in relation to an algorithm?,"Ett program är en algoritm kodad i ett programmeringsspråk, d.v.s. på ett sådant sätt att en dator kan exekvera den. ","A program is an algorithm coded in a programming language, i.e. in such a way that a computer can execute it.",,,,
180,,5,essay,SER,,Beskriv hur binärsökning går till! Vilka krav finns på den data som man söker i? ,Describe how binary search works! What are the requirements for the data you search in?,Binärsökning kräver att den data man söker i är sorterad. Vid varje repetition i sökningen halveras antalet poster. För varje repetition så undersök posten i mittenpositionen: om posten som eftersöks ordnas före posten i mittenpositionen så fortsätt sökningen i första halvan; om posten som eftersöks ordnas efter posten i mittenpositionen så fortsätt sökningen i andra halvan. Fortsätt på liknande sätt och avsluta sökningen när posten antingen hittats eller den kvarvarande halvan är tom. ,"Binary search requires that the data being searched is sorted. At each repetition of the search, the number of entries is halved. For each repetition, examine the entry in the middle position: if the entry sought is arranged before the entry in the middle position, continue the search in the first half; if the entry being sought is ordered after the entry in the middle position, then continue the search in the second half. Continue in a similar manner and end the search when the record is either found or the remaining half is empty.",,,,
181,,5,essay,VER,,Vilka metoder kan användas för att verifiera ett programs korrekthet? ,What methods can be used to verify the correctness of a program?,"Statisk verifiering (static verification) eller kodanalys (code analysis), och testning (testing). ","Static verification or code analysis, and testing.",,,,
182,,5,essay,RIT,,På vilka två grundläggande olika sätt kan man åstadkomma repetition i en algoritm? ,In what two fundamentally different ways can repetition be achieved in an algorithm?,Rekursion och iteration. ,Recursion and iteration.,,,,
183,22,5,essay,SER,,När är sekventiell sökning att föredra framför binärsökning? ,When is sequential search preferable to binary search?,Sekventiell sökning är att föredra för mycket korta listor och när data inte är sorterat eftersom binärsökning kräver sorterad data. ,Sequential search is preferred for very short lists and when the data is not sorted because binary search requires sorted data.,,,,
184,22,5,essay,SER,,Vad är en förutsättning för att binärsökning (binary search) ska fungera? Motivera ditt svar.,What is a prerequisite for binary search to work? Motivate your answer.,Sorterad data.,Sorted/ordered data.,,,,
185,22,5,essay,SER,,Är binärsökning ett bra val för att söka i osorterad data? Motivera ditt svar.,Is binary search a good choice for searching unsorted data? Motivate your answer.,"Nej, det fungerar inte med osorterad data.","No, binary search does not work for unsorted/unordered data.",,,,
186,20,5,essay,ALG,,Definiera begreppet algoritm (algorithm)!,Define the term algorithm!,"En algoritm är en ordnad mängd av otvetydiga, exekverbara steg som beskriver en avslutande process. ","An algorithm is an ordered set of unambiguous, executable steps that defines a terminating process. ",,,,
187,21,5,essay,ALG,,Kan alla algoritmer beskrivas som ett flödes-schema (flow chart)? Motivera ditt svar! ,Can all algorithms be described as a flow chart? Motivate your answer!,"Ja, rektanglar och romber beskriver exekverbara steg, varav romber beskriver villkor, och pilar beskriver sekvenser och loopar, vilket är vad som behövs för att beskriva varje tänkbar algoritm. ","Yes, rectangles and diamonds describe executable steps, of which diamonds describe conditions, and arrows describe sequences and loops, which is what is needed to describe any conceivable algorithm.",,,,
188,21,5,essay,ALG,,"Är ett programmeringsspråk, t.ex. Python, lämpligt för att beskriva algoritmer? Motivera ditt svar! ","Is a programming language, e.g. Python, suitable for describing algorithms? Motivate your answer!","Ja, för att programmeringsspråk har väldefinierade primitiv och regler för hur primitiven kan kombineras. (Nej, för att programmeringsspråk kräver att man specificerar många detaljer.) ","Yes, because programming languages have well-defined primitives and rules for how the primitives can be combined. (No, because programming languages require specifying many details.)",,,,
189,22,5,essay,ALG,,Vad innebär top-down metodologin när man utvecklar (eller upptäcker) algoritmer? ,What does the top-down methodology mean when developing (or discovering) algorithms?,Att man startar från en hög abstraktionsnivå och stegvis arbetar sig neråt genom att dela upp problem i mindre delar. ,That you start from a high level of abstraction and gradually work your way down by dividing problems into smaller parts.,,,,
190,22,5,essay,COD,,Varför är det inte så viktigt att följa en strikt syntax i pseudokod?,Why is it not so important to follow a strict syntax in pseudocode?,"Eftersom det är människor som ska kunna förstå och läsa pseudokod, inte datorer.","Because it is people who should be able to understand and read pseudocode, not computers.",,,,
191,,6,essay,DTP,,Varför är det nödvändigt att veta vilken datatyp en variabel har? ,Why is it necessary to know the data type of a variable?,Det är datatypen som anger hur vi skall tolka det bitmönster som ligger lagrat i variabeln. ,It is the data type that specifies how we should interpret the bit pattern stored in the variable.,,,,
192,,6,essay,COD,,Vad är skillnaden mellan källkod och objektkod? ,What is the difference between source code and object code?,Källkod är den programkod som programmeraren skriver. Objektkod är den översättning av källkoden som går att köra på en dator. ,Source code is the program code that the programmer writes. Object code is the translation of the source code that can be run on a computer.,,,,
193,,6,essay,COD,,Producerar ett syntaktiskt korrekt program alltid korrekta resultat? Motivera ditt svar. ,Does a syntactically correct program always produce correct results? Motivate your answer.,"Nej, ett syntaktiskt korrekt program kan innehålla fel, t.ex. logiska fel, som gör att programmet ger inkorrekta resultat. ","No, a syntactically correct program can contain errors, e.g. logical errors, which cause the program to give incorrect results.",,,,
194,,6,essay,DTS,,Vad kännetecknar en datastruktur av typen struct/record (aggregate type)? ,What characterizes a data structure of the type struct/record (aggregate type)?,Att det är en datastruktur sammansatt av data som kan ha olika typ. ,That it is a data structure composed of data that can have different types.,,,,
195,,6,essay,SBR,,Vad innebär det att en parameter till en subrutin överförs som värde (passed by value)? ,What does it mean that a parameter to a subroutine is transferred as value (passed by value)?,Passed by value innebär att parametern överförs som ett kopierat värde och att detta kopierade värde lagras i en lokal variabel i subrutinen. ,Passed by value means that the parameter is passed as a copied value and that this copied value is stored in a local variable in the subroutine.,,,,
196,,6,essay,SBR,,Vad innebär det att en parameter till en subrutin överförs som referens (passed by reference)? ,What does it mean that a parameter to a subroutine is transferred as a reference (passed by reference)?,"Passed by reference innebär att parametern överförs som en referens till en plats där den ligger lagrad, vilket innebär att eventuella ändringar görs i den ursprungliga variabeln. ","Passed by reference means that the parameter is transferred as a reference to a location where it is stored, which means that any changes are made to the original variable.",,,,
197,,6,essay,ASB,,Vad gör en assemblator/assemblerare (assembler)? ,What does an assembler do?,En assemblator/assemblerare (assembler) omvandlar assemblerkod (assembly code) till maskinkod. ,An assembler converts assembly code into machine code.,,,,
198,,6,essay,DTS,,Vad kännetecknar en datastruktur av typen array?,What characterizes an array data structure?,"Att alla element i datastrukturen är av samma datatyp, och att de enskilda elementen nås via index. ","That all elements in the data structure are of the same data type, and that the individual elements are accessed via indexes.",,,,
199,25,6,essay,PRD,,Vilka är de fyra stora programmeringsparadigmerna (programming paradigms)? ,What are the four major programming paradigms?,"Imperativ, funktionell, objektorienterad och deklarativ (logik-) programmering. ","Imperative, functional, object-oriented and declarative (logic) programming.",,,,
200,,6,essay,DTP,,Ange fyra vanliga primitiva datatyper. ,List four common primitive data types.,"Heltal (integer), flyttal (floating point number), tecken (character), boolean (sanningsvärde). ","Integer, floating point number, character, boolean (truth value).",,,,
201,,6,essay,CMP,,Vad gör en kompilator (compiler)? ,What does a compiler do?,"En kompilator översätter källkod, skriven i ett programmeringsspråk, till exekverbar maskinkod. ","A compiler translates source code, written in a programming language, into executable machine code.",,,,
202,25,6,essay,ERR,,"Ett program kan ge upphov till tre olika typer av fel: syntaktiska fel (syntactic errors), exekveringsfel (runtime errors) och logiska fel (logic errors). Vilken typ av fel är mest allvarliga och varför?","A program can give rise to three different types of errors: syntactic errors, runtime errors and logic errors. What type of errors are most serious and why?","Logiska fel, eftersom de inte ger upphov till något felmeddelande. ","Logical errors, because they do not give rise to an error message.",,,,
